State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alabama,5051,5136,5795,4802,5064,4834,4957,4879,4596,5015,5195,5402,5231
Alaska,10702,11330,10666,11285,11743,11358,11605,11428,11159,9976,9598,9785,8468
Arizona,5535,5600,6411,6209,5293,5446,5925,5673,5446,5836,6127,6725,7122
Arkansas,5552,5816,6279,6370,6555,6653,5994,5331,6125,6156,6799,7304,6987
California,4469,4531,4700,4895,5385,5850,5161,6500,7164,6644,6556,7179,7929
Colorado,7110,6976,7183,7111,7534,7982,7023,6947,6540,6838,8296,8824,8366
Connecticut,9936,10800,9156,8605,9344,8785,8015,8089,7682,7521,7792,7517,7386
Delaware,6659,6560,6291,6333,6876,6744,6868,6709,6955,7793,7774,8163,7973
District of Columbia,10141,10694,10165,9937,9170,9493,8833,9132,9528,9328,9222,9685,10588
Florida,5727,5351,5535,5214,5045,4948,5087,4648,4756,4965,5325,5518,5481
Georgia,5266,4733,4924,5006,4946,5087,5112,4750,4740,4876,4940,4921,4704
Hawaii,6065,5338,5837,5719,4937,5538,5805,5365,5316,5345,5301,5688,5291
Idaho,6965,7041,7660,6046,6873,7247,7007,6842,6462,6643,7702,8437,8127
Illinois,5302,5922,6157,4974,4937,5723,4876,5213,4847,5258,5339,5736,7044
Indiana,6948,6277,6024,5887,7602,6893,8148,7236,7021,7168,7551,8380,8248
Iowa,7101,6837,6597,6686,6791,6751,6481,6547,5869,5250,6105,6647,6161
Kansas,7928,7972,7079,7370,6980,6657,6621,6922,6862,7375,7777,8624,8521
Kentucky,6464,7090,6931,6815,6641,6834,6994,6829,6181,6417,6660,7137,7210
Louisiana,6188,6311,6155,5848,5884,6186,6176,5949,5969,6336,6535,7034,7111
Maine,7177,7936,6098,6742,7077,7824,7357,7894,8070,8729,9290,9417,8974
Maryland,8513,8434,8198,7797,7426,7441,7543,7430,8044,7667,7956,8201,7838
Massachusetts,11804,11887,11941,10293,9697,9582,8870,9519,9773,9616,10069,10482,10844
Michigan,5711,5626,5549,5525,5852,6117,5810,5865,6063,6087,5729,6359,6182
Minnesota,9859,9765,9747,8983,9088,9544,8967,8057,8184,9189,10036,10257,10219
Mississippi,5611,5821,6430,6404,6514,6663,6579,6184,6406,6305,6587,6900,6663
Missouri,8260,8695,8442,8317,9015,9271,9250,8567,8094,8153,8644,9827,9428
Montana,9409,9584,9545,7623,8693,8627,9201,8737,6881,7305,6880,7310,7888
Nebraska,8222,8174,8086,7721,8070,7661,7825,8105,8068,8297,8283,8517,8723
Nevada,6286,5781,5229,4855,5599,5043,5373,5766,5556,5823,6226,6986,6074
New Hampshire,10333,10250,9549,8111,8232,8699,8953,8202,8917,9395,9945,9839,10142
New Jersey,10770,10617,10304,10068,9353,9421,7914,7449,7563,7659,7971,8928,8828
New Mexico,6371,6311,5884,5441,5333,5315,5326,5302,4821,4698,5049,5342,5700
New York,10685,10561,10108,10275,9800,9506,9910,9439,9754,11070,11115,10966,10747
North Carolina,7230,7448,6525,6727,6661,6748,6840,6678,5815,6414,6566,6543,6759
North Dakota,9616,9685,10456,10561,11325,11906,12266,12412,12192,12272,12489,12820,12314
Ohio,7161,7408,7190,7190,6747,7103,6877,6555,6533,6791,6901,7524,7738
Oklahoma,6251,6146,5841,5767,6228,6170,6425,6464,6624,6680,7054,7631,7045
Oregon,7496,7681,7128,6693,6651,7513,7057,6713,6866,7421,8232,8622,8377
Pennsylvania,8207,8052,8445,8502,8545,8778,9193,8253,8537,8016,9384,9516,9052
Rhode Island,11074,10848,10660,10878,10697,10781,10754,9886,9179,9068,8967,9230,9468
South Carolina,6131,6488,6264,5476,5125,4875,5396,5375,5205,5035,5199,5320,5345
South Dakota,6680,6908,7004,6484,6654,6945,6915,6874,7029,7629,7553,7814,7867
Tennessee,5175,5072,5721,5406,5799,6032,5590,5380,4785,4969,5486,6214,5701
Texas,6161,6526,6638,6559,6207,6568,7124,7333,7438,7155,7622,7978,8071
Utah,7024,6762,6340,6261,6484,6945,6377,6133,6708,7216,7581,9056,8877
Vermont,7788,7689,7532,7444,7994,8765,8729,8476,8103,8436,9126,9622,9405
Virginia,6981,7005,7134,7331,6978,7259,7226,7311,7199,7545,7271,8154,7680
Washington,6117,5898,5855,5855,6141,6185,5744,5545,5719,5746,6173,6627,6876
West Virginia,6452,6827,6890,7052,7675,7827,6439,6028,5583,6189,6343,6506,6556
Wisconsin,5675,7019,5926,5704,6134,6486,6919,6984,6929,7180,7524,7949,7727
Wyoming,8161,7983,7453,7450,7784,8026,7546,8060,8477,9097,9543,10052,9825
