Region/state of residence,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,1583,1622,1656,1720,1775,1797,1877,1984,2090,2182,2255,2339,2457
New England,1803,1875,1911,1988,2059,2073,2129,2246,2362,2463,2547,2653,2766
Connecticut,1845,1901,1933,1991,2086,2077,2153,2253,2360,2458,2580,2715,2849
Maine,1465,1534,1547,1569,1617,1627,1701,1830,1955,2082,2206,2306,2492
Massachusetts,1935,2017,2053,2147,2213,2237,2285,2415,2544,2651,2710,2811,2883
New Hampshire,1776,1878,1950,2054,2115,2095,2080,2161,2234,2297,2379,2469,2598
Rhode Island,1539,1595,1616,1672,1737,1776,1882,2013,2124,2217,2283,2351,2529
Vermont,1421,1450,1483,1575,1632,1679,1724,1828,1937,2022,2113,2214,2366
Mideast,1694,1748,1778,1854,1921,1962,2041,2150,2269,2376,2462,2583,2699
Delaware,1959,2025,2054,2163,2209,2186,2317,2424,2535,2624,2614,2708,2872
District of Columbia,2183,2180,2186,2362,2437,2557,2645,2767,2858,3017,3194,3341,3348
Maryland,1765,1820,1868,1937,2025,2058,2168,2334,2505,2601,2752,2869,2971
New Jersey,1949,2001,2012,2105,2208,2297,2411,2551,2678,2837,2913,3071,3160
New York,1585,1641,1670,1730,1768,1799,1857,1939,2025,2115,2186,2289,2422
Pennsylvania,1612,1663,1701,1784,1862,1888,1959,2058,2198,2296,2382,2503,2619
Great Lakes,1521,1569,1615,1679,1751,1777,1864,1976,2099,2202,2263,2317,2421
Illinois,1556,1608,1665,1715,1779,1803,1866,1956,2048,2133,2190,2249,2375
Indiana,1481,1489,1541,1621,1724,1786,1862,2031,2190,2292,2344,2441,2573
Michigan,1366,1450,1500,1594,1646,1668,1741,1826,1951,2013,2068,2074,2148
Ohio,1443,1486,1531,1585,1686,1710,1822,1967,2102,2255,2319,2392,2511
Wisconsin,1919,1950,1951,1997,2029,2034,2158,2237,2353,2470,2556,2590,2628
Plains,1437,1464,1510,1569,1613,1622,1669,1786,1875,1947,2009,2086,2193
Iowa,1342,1369,1397,1427,1470,1489,1573,1702,1791,1857,1915,1945,2040
Kansas,1628,1643,1657,1725,1733,1685,1743,1850,1877,1916,1943,1973,2210
Minnesota,1594,1618,1672,1646,1696,1691,1716,1798,1880,1935,2028,2204,2227
Missouri,1237,1274,1333,1461,1509,1558,1615,1760,1875,1963,2005,2061,2185
Nebraska,1491,1502,1555,1671,1732,1736,1758,1888,2007,2112,2190,2280,2400
North Dakota,1451,1446,1520,1560,1672,1675,1687,1819,1970,2183,2287,2232,2309
South Dakota,1447,1511,1552,1605,1620,1613,1630,1723,1766,1778,1833,1845,1959
Southeast,1558,1596,1615,1682,1749,1777,1872,1972,2070,2167,2230,2312,2432
Alabama,1517,1546,1560,1604,1658,1675,1773,1889,1993,2059,2093,2173,2328
Arkansas,1423,1420,1396,1445,1480,1486,1623,1662,1801,1874,1915,1999,2133
Florida,1910,1954,1955,2043,2106,2122,2213,2345,2432,2531,2607,2704,2816
Georgia,1443,1461,1480,1558,1647,1695,1865,1992,2114,2197,2252,2325,2455
Kentucky,1396,1434,1460,1543,1630,1708,1822,1848,1971,2094,2188,2235,2329
Louisiana,1455,1502,1514,1498,1522,1596,1687,1785,1854,1928,2018,2100,2240
Mississippi,1361,1405,1430,1493,1558,1523,1559,1616,1720,1795,1857,1931,2050
North Carolina,1352,1397,1424,1487,1565,1580,1642,1739,1867,1969,1985,2063,2159
South Carolina,1384,1394,1405,1462,1500,1555,1619,1648,1668,1774,1830,1929,2045
Tennessee,1582,1620,1672,1712,1787,1819,1909,2017,2096,2225,2289,2360,2482
Virginia,1524,1590,1630,1721,1796,1801,1856,1950,2035,2127,2207,2283,2407
West Virginia,1412,1486,1507,1576,1656,1709,1816,1920,2050,2164,2242,2321,2483
Southwest,1442,1486,1507,1572,1618,1621,1686,1775,1864,1940,1992,2052,2161
Arizona,1473,1527,1563,1649,1687,1708,1770,1834,1915,2001,2091,2159,2291
New Mexico,1261,1356,1370,1474,1545,1529,1544,1565,1630,1672,1697,1716,1764
Oklahoma,1409,1438,1442,1523,1547,1550,1603,1687,1807,1840,1902,1959,2079
Texas,1454,1493,1513,1567,1616,1616,1688,1789,1878,1959,2000,2062,2168
Rocky Mountains,1351,1369,1379,1412,1431,1442,1504,1598,1691,1761,1829,1866,1980
Colorado,1471,1477,1466,1507,1520,1512,1608,1738,1861,1942,2015,2045,2161
Idaho,1231,1258,1269,1281,1252,1241,1255,1276,1293,1394,1439,1554,1698
Montana,1358,1429,1475,1561,1620,1622,1675,1788,1968,2094,2127,2207,2307
Utah,1155,1175,1196,1210,1245,1312,1338,1400,1460,1482,1573,1562,1643
Wyoming,1559,1558,1631,1672,1726,1699,1787,1871,1926,1973,2025,2109,2331
Far West,1717,1730,1795,1844,1873,1889,1979,2103,2218,2301,2408,2518,2664
Alaska,2316,2461,2595,2823,3063,3142,3285,3533,3715,3882,4197,4448,4968
California,1728,1725,1805,1849,1875,1890,1973,2119,2237,2322,2436,2555,2715
Hawaii,1653,1691,1701,1774,1818,1817,1866,1968,2084,2230,2330,2486,2710
Nevada,1618,1642,1636,1676,1696,1739,1867,1909,2019,2109,2173,2211,2301
Oregon,1646,1628,1649,1722,1741,1778,1842,1974,2062,2139,2221,2303,2391
Washington,1692,1787,1820,1866,1895,1889,2024,2047,2152,2216,2303,2389,2473
