date,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WI,WV,WY
2008-01-01,42242,51624,38967,40983,43801,46677,61514,45923,43264,42027,42839,38633,48415,43045,49431,51282,41032,47048,42076,50561,54461,41948,49860,39184,47099,42420,50465,42848,48279,53849,39593,48246,45877,53507,44451,49104,42239,46902,44835,40425,53966,42800,46111,39101,45363,49384,47357,46757,40351,58234
2009-01-01,41995,50046,36641,40970,42404,44290,60539,45268,41222,41967,41152,37037,45573,41599,46716,48299,40970,45972,42256,49375,54176,40151,46758,39758,45186,41648,48959,39476,48280,50491,38605,47526,44344,51491,42857,45641,39641,45727,43821,39578,51592,42858,43378,35790,44683,48503,44859,45576,41150,51850
2010-01-01,41757,53121,37162,40280,43519,44902,63476,44779,42760,40688,41970,37925,45785,42305,46319,47376,40634,45712,43057,50625,55691,40984,48225,39144,43938,43077,49338,40941,49950,51790,39402,48800,42730,54692,43444,45446,40049,47012,46190,39126,51386,42936,44111,36432,46082,48535,45638,45543,40655,53752
2011-01-01,41849,54738,38384,41286,44858,45642,62986,47058,43276,42371,42000,38351,46627,43988,49065,49879,41304,45363,44300,51131,56417,42716,50075,39422,44788,43679,53822,40739,51172,52199,38977,49369,42479,58846,45541,47134,40590,48346,46973,39851,55027,43816,46689,36776,47570,49648,46298,47258,41704,55954
2012-01-01,41617,55069,39253,43016,46170,46712,62599,46587,43193,41428,42548,39456,48180,44694,49603,50983,41637,46373,43668,51763,57066,43524,51557,40016,45807,45708,53224,41361,52190,52513,39187,50801,44045,64517,45859,48680,40990,49316,48020,40611,52730,44341,47581,37963,47494,50704,48625,47869,41807,58962
2013-01-01,41356,53511,39171,42407,45839,47730,60177,46599,42278,41342,40543,39856,48736,44364,49444,51541,41149,46138,42448,49966,56794,43132,50849,39978,45178,45185,52247,41179,51260,52117,38133,50345,42472,61532,45670,49838,41192,49038,46444,40249,52096,43980,47335,38301,47120,48674,48421,47518,40670,56738
2014-01-01,42010,55466,40235,44095,47491,50254,62124,46908,43817,42966,42368,40851,50192,45290,49950,51212,42163,46963,45787,50717,57340,44085,51753,40144,45689,45340,54103,42744,52478,53254,39827,51565,43823,63104,46836,51540,43052,50322,47874,41743,53856,44719,48987,39622,49298,49591,49895,48519,41592,59527
2015-01-01,43835,56504,41903,45429,50074,51326,63350,49657,45696,45162,43527,42395,52739,47431,52197,51652,44004,47125,46058,52493,60375,47214,54113,40954,47602,46701,56086,45719,53641,55187,40734,53135,45797,59820,48871,49911,44953,51674,48421,43675,56578,46540,49009,42061,49460,51300,51713,50674,42149,59581
2016-01-01,43577,54409,42530,45891,51845,50932,64059,49888,46131,45910,45057,43501,52593,48119,51997,51703,44229,45906,46350,53818,59836,48004,54497,41074,48730,47043,54640,46904,53998,55877,41535,54059,46302,57045,49186,46871,46549,52720,48637,44368,56333,46690,47705,43390,50635,52229,52455,50962,42098,55726
2017-01-01,44472,54005,44250,46835,52604,52739,64665,50850,48133,47164,45830,43698,53025,49155,52520,52843,44983,47177,47144,54699,61749,48940,55762,41757,48939,48257,55273,47169,54856,56585,41045,56703,47617,58576,50277,48368,46979,52469,49320,45728,56740,47828,49944,43710,49930,53826,52990,51771,43731,58146
2018-01-01,46441,55410,45656,48479,53481,56587,68093,52109,49932,48286,45669,46334,54882,49297,52149,53374,45924,49184,47982,55322,63345,48952,55425,42877,49937,50187,54975,50302,57229,56760,43916,57543,48656,59405,50530,50412,47087,54503,50153,46621,55499,50874,51578,46524,50638,54030,54841,52805,45021,62945
2019-01-01,47123,56881,47219,48268,55915,57850,69110,52615,52072,49770,46700,48080,56211,50349,52319,54358,46924,49923,50609,56828,65445,49322,56672,43791,50619,50986,55874,50824,59512,58709,44966,58669,50930,58763,51273,52205,48631,55410,52112,48799,57344,51841,52351,47932,52739,56432,56828,53670,46591,63624
2020-01-01,50207,58532,50355,51209,60011,59863,70544,55233,53888,52197,48300,52322,58848,54014,55518,57114,50580,52801,53151,58386,68032,53577,59982,47589,54141,55822,58531,53887,61785,61418,48683,60801,54314,63669,55124,53706,52482,59170,55605,51422,62351,54946,53456,52063,54402,58311,60169,57334,49453,68414
2021-01-01,52290,57623,53694,53390,63271,64282,72206,55553,57193,53954,50224,54349,61090,56596,59451,58997,53132,54860,55479,59801,71971,55251,62468,49677,56045,58704,62680,58810,64766,64046,52357,63666,55605,66621,56903,56420,54976,61233,57342,51875,66784,57819,56565,55448,57077,60057,62680,59557,49594,70876
2022-01-01,50053,58069,50480,52430,59103,63875,67254,55709,54746,50954,48095,53199,57654,54811,58769,57958,50138,51925,51855,57736,66701,52679,60785,45818,54753,58297,61750,55582,59247,61250,49501,60472,53226,68481,54516,54724,50448,57849,52380,49456,66857,54794,55382,54307,53806,58281,59175,57465,48337,68772
